,Name,Price,Rate,property,carpet-area,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony
2060,"2 BHK Flat for Sale in Paramount Emotions, Noida Extension, Noida",₹31.5 Lac ,₹3316 per sqft ,,,Ready to Move,1 out of 4,New Property,,,,,2,
2061,"3 BHK Flat for Sale in Supertech Eco Village 1, Sector 1, Greater Noida",₹60 Lac ,₹3883 per sqft ,,,Ready to Move,1 out of 4,Resale,,,,,3,
2062,"2 BHK Flat for Sale in Bhai Parmanand Colony, Mukherjee Nagar, New Delhi",₹1.05 Cr ,₹14583 per sqft ,,,Ready to Move,3 out of 4,Resale,,,,,2,
2063,2 BHK House for Sale in Govindpuri Main New Delhi,₹45 Lac ,₹5556 per sqft ,,,Ready to Move,1 out of 3,New Property,,,,,2,
2064,"4 BHK Flat for Sale in Gurgaon Floors, DLF City Phase 1, Gurgaon",₹4.90 Cr ,₹10652 per sqft ,,,Ready to Move,1 out of 4,New Property,,,,,4,
2065,"1 BHK Flat for Sale in Inderpuri, New Delhi",₹14.4 Lac ,₹4000 per sqft ,,,Ready to Move,Ground out of 2,Resale,,,,,1,
2066,2 BHK House for Sale in Yamuna Vihar New Delhi,₹60 Lac ,₹6667 per sqft ,,,Ready to Move,5 out of 23,Resale,,,,,2,
2067,"2 BHK Flat for Sale in Raj Nagar Extension, Ghaziabad",₹32 Lac ,₹4000 per sqft ,,,Ready to Move,,Resale,,,,,2,
2068,"3 BHK Flat for Sale in Emaar Emerald Hills, Sector 65, Gurgaon",₹2.40 Cr ,₹12000 per sqft ,,,,,Resale,,,,,3,
2069,"2 BHK Flat for Sale in ACE Divino , Sector 1 Greater Noida West, Greater Noida",₹68 Lac ,₹6834 per sqft ,,,,,Resale,,,,,2,
2070,"3 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",₹2.66 Cr ,₹12976 per sqft ,Home Mentors ,1700 sqft,Poss. by Sep '23,15 out of 38,New Property,North,"Garden/Park, Pool",Freehold,2 Covered,3,4
2071,2 BHK Villa for Sale in Sector XU 3 Greater Noida,₹1.10 Cr ,₹8521 per sqft ,Suresh Properties (Lamba JI),1291 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Leasehold,1 Open,2,1
2072,"2 BHK Flat for Sale in Savitri Nagar Village, Sheikh Sarai, New Delhi",₹1.10 Cr ,₹7857 per sqft ,Sector 49 Affordable Homes,1400 sqft,Ready to Move,2 out of 19,Resale,East,Main Road,Freehold,"1 Covered,",2,1
2073,"3 BHK Flat for Sale in Dwarka Expressway, Gurgaon",₹1.30 Cr ,₹7429 per sqft ,,1000 sqft,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",3,3
2074,"2 BHK Flat for Sale in DS 19, New Delhi",₹90 Lac ,₹11111 per sqft ,,1250 sqft,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,"1 Covered,",2,1
2075,"1 BHK Flat for Sale in New Ashok Nagar, New Delhi",₹15 Lac ,₹3000 per sqft ,,1200 sqft,Ready to Move,1 out of 1,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,1,2
2076,8 BHK Villa for Sale in Sector 27 Noida,₹9 Cr ,₹12000 per sqft ,,1050 sqft,Ready to Move,Ground out of 1,Resale,North,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",8,2
2077,"3 BHK Flat for Sale in Yamuna Enclave, Sector 28, Noida Sector 18 Metro, Noida",₹1.60 Cr ,₹8889 per sqft ,,50 sqyrd,Ready to Move,1 out of 4,Resale,East,"Pool, Garden/Park, Main Road",Leasehold,,2,1
2078,"2 BHK Flat for Sale in Varun Enclave, Sector 28, Noida Sector 18 Metro, Noida",₹1.20 Cr ,₹9554 per sqft ,,900 sqft,Ready to Move,1 out of 3,Resale,North - East,Main Road,Leasehold,,2,3
2079,"2 BHK Flat for Sale in Noida Authority Plots, Sector 105 Block B, Noida Express Way, Noida",₹50 Lac ,₹4167 per sqft ,,1422 sqft,Ready to Move,2 out of 4,Resale,East,"Garden/Park, Pool",Freehold,,2,4
2080,"3 BHK Flat for Sale in Indirapuram, Ghaziabad",₹65 Lac ,₹5392 per sqft ,,1500 sqft,Ready to Move,1 out of 3,Resale,East,"Main Road, Garden/Park",Freehold,,3,1
2081,"3 BHK Flat for Sale in DDA Ekta Apartment, Dwarka Sector 3, New Delhi",₹1.30 Cr ,₹8966 per sqft ,,715 sqft,Ready to Move,4 out of 5,Resale,East,"Pool, Garden/Park, Main Road",Freehold,,2,3
2082,"2 BHK Flat for Sale in Varun Enclave, Sector 28, Noida Sector 18 Metro, Noida",₹85 Lac ,₹6367 per sqft ,,950 sqft,Ready to Move,3 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,,2,2
2083,"4 BHK Flat for Sale in Sector 28, Noida Sector 18 Metro, Noida",₹1.71 Cr ,₹7773 per sqft ,,464 sqft,Ready to Move,3 out of 4,Resale,North - East,,Leasehold,,3,5
2084,"1 BHK Flat for Sale in Bahrampur, Ghaziabad",₹14 Lac ,₹3111 per sqft ,,,Ready to Move,7 out of 22,Resale,,,Freehold,,1,3
2085,3 BHK Flat for Sale in New Delhi,₹1.25 Cr ,₹7407 per sqft ,,,Ready to Move,16 out of 19,Resale,,,Leasehold,,3,2
2086,"3 BHK Flat for Sale in Mahavir Enclave Part 1, New Delhi",₹60 Lac ,₹9559 per sqft ,,,Ready to Move,2 out of 4,Resale,,,Freehold,,2,2
2087,"3 BHK Flat for Sale in Amrapali Eden Park, Sector 50 Block F, Noida",₹1.30 Cr ,₹5415 per sqft ,,,Ready to Move,Ground out of 1,Resale,,,,,3,1
2088,"3 BHK Flat for Sale in gaur City 2 16th Avenue, Sector 16, Greater Noida",₹75 Lac ,₹7037 per sqft ,,,Ready to Move,Ground out of 5,Resale,,,,,3,
2089,"2 BHK Flat for Sale in Sudarshan Park, New Delhi",₹38 Lac ,₹8182 per sqft ,,,Ready to Move,2 out of 4,Resale,,,,,2,
2090,"3 BHK Flat for Sale in Sector 30, Mathura Road, Faridabad",₹90 Lac ,₹6402 per sqft ,,,Ready to Move,2 out of 2,Resale,,,,,3,
2091,"2 BHK Flat for Sale in Sector 30 RWA, Sector 30, Golf Course Metro, Noida",₹79 Lac ,₹8671 per sqft ,,,Ready to Move,10 out of 30,Resale,,,,,2,
2092,"2 BHK Flat for Sale in Sector 30, Golf Course Metro, Noida",₹75 Lac ,₹20000 per sqft ,,,Ready to Move,9 out of 14,Resale,,,,,2,
2093,4 BHK House for Sale in Sector 47 Gurgaon,₹1.80 Cr ,₹6325 per sqft ,,,Poss. by Feb '26,Ground out of 3,Resale,,,,,4,
2094,"3 BHK Flat for Sale in Sushant Lok 3, Sushant Lok 3 Block B, Sector 57, Golf Course Extension Road, Gurgaon",₹1.05 Cr ,₹9043 per sqft ,,,Ready to Move,1 out of 4,Resale,,,,,2,
2095,"3 BHK Flat for Sale in M3M Golf Hills Phase 1, Sector 79, Gurgaon",₹1.72 Cr ,₹5556 per sqft ,,,Ready to Move,1 out of 4,Resale,,,,,3,
2096,"2 BHK Flat for Sale in Panchsheel Greens Mart , Sector 16, Greater Noida",₹44 Lac ,₹4040 per sqft ,,,Ready to Move,,Resale,,,,,2,
2097,"2 BHK Flat for Sale in Sainik Colony, Sector 49, Faridabad",₹29.5 Lac ,₹7238 per sqft ,,,Ready to Move,,Resale,,,,,2,
2098,"2 BHK Flat for Sale in Cgewho Kendriya Vihar 2 , Sector 82, Dadri Road, Noida",₹76 Lac ,,,,,,Resale,,,,,2,
2099,"2 BHK Flat for Sale in Mahavir Enclave, New Delhi",₹27 Lac ,,,,,,Resale,,,,,1,
2100,"3 BHK Flat for Sale in Sector 30, Mathura Road, Faridabad",₹1.35 Cr ,₹7147 per sqft ,Innovation Infra Solutions Pvt. Ltd.,950 sqft,Ready to Move,1 out of 10,Resale,East,"Pool, Garden/Park, Main Road",Freehold,2 Covered,3,4
2101,"3 BHK House for Sale in Sector 30, Golf Course Metro Noida",₹2.75 Cr ,₹10185 per sqft ,,2777 sqft,Ready to Move,9 out of 14,Resale,North,Pool,Freehold,1 Covered,3,6
2102,"3 BHK Flat for Sale in Nilaya Greens, Raj Nagar Extension, Ghaziabad",₹45 Lac ,₹3583 per sqft ,,60 sqft,Ready to Move,7 out of 23,New Property,North,"Garden/Park, Pool, Main Road",Power Of Attorney,1 Covered,2,1
2103,"4 BHK Flat for Sale in Suncity Platinum Towers, Dlf City Phase 4, Sector 28, Gurgaon",₹9.80 Cr ,₹23473 per sqft ,,125 sqyrd,Ready to Move,Ground out of 5,New Property,South -West,Main Road,Freehold,1 Open,7,1
2104,2 BHK House for Sale in Najafgarh New Delhi,₹29 Lac ,₹5686 per sqft ,,55 sqyrd,Ready to Move,17 out of 23,Resale,East,"Garden/Park, Pool, Main Road",Leasehold,1 Covered,1,6
2105,"3 BHK Flat for Sale in Chhattarpur Enclave Phase2, New Delhi",₹75 Lac ,₹6667 per sqft ,,700 sqft,Ready to Move,Ground out of 2,Resale,East,Main Road,Leasehold,"1 Covered,",2,2
2106,"4 BHK Flat for Sale in Suncity Platinum Towers, Sector 28, Gurgaon",₹10.35 Cr ,₹24790 per sqft ,,5000 sqft,Ready to Move,8 out of 12,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",7,6
2107,"3 BHK Flat for Sale in DDA EWS Housing Project, Manglapuri, New Delhi",₹42 Lac ,₹8485 per sqft ,,1100 sqft,Ready to Move,5 out of 10,New Property,East,Main Road,Freehold,2 Covered,1,2
2108,"2 BHK Flat for Sale in Oxy Homez, Bhopura, Ghaziabad",₹30 Lac ,₹3158 per sqft ,,160 sqft,Ready to Move,Ground out of 3,Resale,East,"Pool, Main Road",Freehold,2 Covered,2,1
2109,"5 BHK Villa for Sale in Jaypee Greens Kallisto Townhomes, Sector 128, Noida Express Way Noida",₹7 Cr ,₹14000 per sqft ,,1200 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,1 Open,5,1
2110,"2 BHK Flat for Sale in KDP MGI Gharaunda, Raj Nagar Extension, Ghaziabad",₹23 Lac ,₹2875 per sqft ,,650 sqft,Ready to Move,3 out of 3,Resale,South - East,"Garden/Park, Pool, Main Road",Leasehold,,2,1
2111,"2 BHK House for Sale in South City 1, Sector 41 Gurgaon",₹3.25 Cr ,₹27083 per sqft ,,410 sqft,Ready to Move,29 out of 78,Resale,East,Garden/Park,Freehold,,2,1
2112,5 BHK House for Sale in Sanjay Enclave Colony Faridabad,₹42 Lac ,₹4200 per sqft ,,275 sqyrd,Ready to Move,4 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,,2,3
2113,"3 BHK Flat for Sale in Manavsthali Apartment, Paryatan Vihar, Vasundhara Enclave, New Delhi",₹1.20 Cr ,₹8276 per sqft ,,2263 sqft,Ready to Move,16 out of 29,Resale,East,"Garden/Park, Pool",Freehold,,2,4
2114,"2 BHK Flat for Sale in Vidhayak Colony, Nyay Khand 1, Ghaziabad",₹29.7 Lac ,₹4400 per sqft ,,1850 sqft,Ready to Move,12 out of 14,Resale,South,"Garden/Park, Main Road",Freehold,,2,4
2115," Studio Apartment for Sale in Supertech Supernova Spira Residences, Sector 94, Noida Express Way, Noida",₹74.4 Lac ,₹12500 per sqft ,,890 sqft,Ready to Move,6 out of 10,Resale,East,Main Road,Leasehold,,1,5
2116,"4 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",₹4.50 Cr ,₹11876 per sqft ,,1250 sqft,Ready to Move,1 out of 3,Resale,,,Freehold,,5,1
2117,"2 BHK Flat for Sale in Panchsheel Greens, Noida Extension, Noida",₹55 Lac ,₹5641 per sqft ,,720 sqft,Ready to Move,11 out of 23,Resale,,,,,2,5
2118,"3 BHK Flat for Sale in Parsvnath Exotica, Sector 53, Gurgaon",₹4.80 Cr ,₹16580 per sqft ,,300 sqft,Ready to Move,1 out of 2,Resale,,,,,5,2
2119,"4 BHK Flat for Sale in Rama Krishna Apartments, Dwarka Sector 23, New Delhi",₹2.40 Cr ,₹10667 per sqft ,,,Ready to Move,2 out of 3,Resale,,,,,4,2
2120,"3 BHK Flat for Sale in Kakrola, New Delhi",₹60 Lac ,₹8438 per sqft ,,,Ready to Move,2 out of 3,Resale,,,,,2,1
2121,"4 BHK Flat for Sale in ATS Le Grandiose, Sector 150, Pusta Road, Noida",₹2.70 Cr ,₹11852 per sqft ,,,Poss. by Sep '23,2 out of 4,Resale,,,,,5,3
2122,"2 BHK Flat for Sale in Uttam Nagar, New Delhi",₹80 Lac ,₹16000 per sqft ,,,Ready to Move,3 out of 4,Resale,,,,,3,1
2123,5 BHK House for Sale in Surya Vihar Gurgaon,₹1.60 Cr ,₹3333 per sqft ,,,Ready to Move,1 out of 4,Resale,,,,,5,
2124,"2 BHK Flat for Sale in CA Block Shalimar Bagh, New Delhi",₹1.20 Cr ,₹9909 per sqft ,,,Ready to Move,,Resale,,,,,1,
2125,"2 BHK Flat for Sale in Sanjay Nagar, Ghaziabad",₹30 Lac ,₹4857 per sqft ,,,Ready to Move,,Resale,,,,,2,
2126,"2 BHK Flat for Sale in Punjabi Bagh Extension, New Delhi",₹80 Lac ,₹9806 per sqft ,,,Ready to Move,,Resale,,,,,1,
2127,"1 BHK Flat for Sale in Naya Khand, Nyay Khand 3, Ghaziabad",₹17 Lac ,₹9355 per sqft ,,,Ready to Move,,Resale,,,,,2,
2128,2 BHK Villa for Sale in Sector-37 Greater Noida,₹95 Lac ,,,,Ready to Move,,Resale,,,,,2,
2129,"3 BHK Flat for Sale in Sector 38, Gurgaon",₹1.45 Cr ,,,,,,Resale,,,,,3,
2130,"3 BHK Flat for Sale in Sector 38, Gurgaon",₹1.20 Cr ,₹5217 per sqft ,PropAssist,1850 sqft,Ready to Move,1 out of 3,Resale,North - East,Main Road,Freehold,1 Covered,3,3
2131,"4 BHK Flat for Sale in IMT Manesar, Gurgaon",₹80 Lac ,₹3556 per sqft ,,875 sqft,Ready to Move,3 out of 10,Resale,North - East,Main Road,Freehold,1 Covered,4,1
2132,"2 BHK Flat for Sale in Gaur City 2 White Orchid, Greater Noida West, Greater Noida",₹24.5 Lac ,₹2513 per sqft ,,700 sqft,Ready to Move,Ground out of 4,New Property,East,"Garden/Park, Pool, Main Road",Leasehold,"2 Covered,",2,5
2133,"4 BHK Flat for Sale in Lotus 300, Sector 107, Dadri Road, Noida",₹5.70 Cr ,₹10000 per sqft ,,2588 sqft,Ready to Move,3 out of 21,Resale,East,Garden/Park,Freehold,2 Covered,4,2
2134,"2 BHK Flat for Sale in Oxy Homez, Bhopura, Ghaziabad",₹30 Lac ,₹3158 per sqft ,,500 sqft,Ready to Move,8 out of 12,Resale,East,Main Road,Freehold,"1 Covered,",2,3
2135,"3 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",₹4 Cr ,₹15456 per sqft ,,1650 sqft,Ready to Move,29 out of 44,Resale,East,Main Road,Freehold,1 Covered,3,1
2136,"1 BHK Flat for Sale in Shalimar Garden Extension 1, Ghaziabad",₹18.1 Lac ,₹3017 per sqft ,,600 sqft,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,1 Open,1,2
2137,"2 BHK Flat for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",₹97.9 Lac ,₹11518 per sqft ,,321 sqft,Poss. by Aug '23,Ground out of 3,New Property,North - West,"Pool, Main Road",Leasehold,"1 Covered,",2,1
2138,"3 BHK Flat for Sale in Alaknanda, New Delhi",₹2.70 Cr ,₹15000 per sqft ,,200 sqft,Ready to Move,6 out of 14,Resale,North - East,Garden/Park,Freehold,"2 Covered,",2,1
2139,"1 BHK Flat for Sale in Thee Halt Express, Knowledge Park 3, Greater Noida",₹25.7 Lac ,₹4515 per sqft ,,1800 sqft,Ready to Move,3 out of 3,New Property,South -West,Main Road,Leasehold,,1,2
2140,"3 BHK Flat for Sale in Vatika India Next, Sector 82, Gurgaon",₹1.25 Cr ,₹9259 per sqft ,,2150 sqft,Ready to Move,Ground out of 4,Resale,West,"Garden/Park, Main Road",Freehold,,2,3
2141,"3 BHK Flat for Sale in Pratap Vihar, Ghaziabad",₹66 Lac ,₹5500 per sqft ,,1522 sqft,Ready to Move,2 out of 3,Resale,East,Garden/Park,Freehold,,3,3
2142,"2 BHK Flat for Sale in Anarkali Colony, Krishna Nagar, New Delhi",₹45 Lac ,₹6923 per sqft ,,1800 sqft,Ready to Move,1 out of 2,Resale,East,Garden/Park,Freehold,,1,3
2143,3 BHK House for Sale in Shyam Vihar 1 Najafgarh New Delhi,₹34 Lac ,₹5231 per sqft ,,1100 sqft,Ready to Move,Ground out of 4,Resale,,,,,3,2
2144,3 BHK House for Sale in Mansarovar garden New Delhi,₹1.70 Cr ,₹85000 per sqft ,,1200 sqft,Ready to Move,Ground out of 2,Resale,,,,,2,4
2145,"2 BHK Flat for Sale in Ecotech 3, Greater Noida",₹70 Lac ,₹7907 per sqft ,,,Ready to Move,5 out of 22,Resale,,,,,2,2
2146,"3 BHK Flat for Sale in ATS Tourmaline, Sector 109 Block T, Gurgaon",₹1.70 Cr ,₹4565 per sqft ,,,Ready to Move,8 out of 14,Resale,,,,,4,1
2147,"1 BHK Flat for Sale in Thee Halt Express, Knowledge Park 3, Greater Noida",₹26 Lac ,₹4565 per sqft ,,,Ready to Move,4 out of 14,New Property,,,,,1,
2148,"1 BHK Flat for Sale in Thee Halt Express, Knowledge Park 3, Greater Noida",₹26 Lac ,₹4590 per sqft ,,,Poss. by Dec '24,8 out of 14,New Property,,,,,1,
2149,"1 BHK Flat for Sale in Thee Halt Express, Knowledge Park 3, Greater Noida",₹26.2 Lac ,₹18519 per sqft ,,,Ready to Move,3 out of 3,New Property,,,,,1,
2150,2 BHK House for Sale in Brahmpuri New Delhi,₹60 Lac ,₹8750 per sqft ,,,Ready to Move,5 out of 32,Resale,,,,,3,
2151,8 BHK House for Sale in Sector 39 Noida,₹5.25 Cr ,₹10279 per sqft ,,,Ready to Move,4 out of 4,Resale,,,,,7,
2152,"3 BHK Flat for Sale in SKA Orion, Sector 143 B, Noida Express Way, Noida",₹1.95 Cr ,₹12550 per sqft ,,,Ready to Move,Ground out of 5,New Property,,,,,4,
2153,"4 BHK Flat for Sale in Ardee City, Ardee City, Sector 52, Gurgaon",₹2.51 Cr ,₹4321 per sqft ,,,Ready to Move,8 out of 15,New Property,,,,,4,
2154,"2 BHK Flat for Sale in Mahavir Enclave, New Delhi",₹42 Lac ,₹9711 per sqft ,,,Ready to Move,2 out of 3,Resale,,,,,2,
2155,"3 BHK Flat for Sale in BPTP park prime, Sector 66, Gurgaon",₹1.41 Cr ,₹5636 per sqft ,,,,Ground out of 4,Resale,,,,,2,
2156,"1 BHK Flat for Sale in Vaishali Sector 1, Ghaziabad",₹31 Lac ,₹17308 per sqft ,,,,3 out of 4,Resale,,,,,1,
2157,"3 BHK Flat for Sale in Sukhdev Vihar, Okhla, New Delhi",₹2.25 Cr ,₹4500 per sqft ,,,,9 out of 19,Resale,,,,,3,
2158,1 BHK Flat for Sale in Ghaziabad,₹27 Lac ,₹2898 per sqft ,,,,,Resale,,,,,1,
2159,"1 BHK Flat for Sale in Wave Hitech City, NH 24, Ghaziabad",₹16.8 Lac ,,,,,,Resale,,,,,1,
2160,"2 BHK Flat for Sale in Raj Nagar Extension, Ghaziabad",₹49.5 Lac ,₹6884 per sqft ,,1570 sqft,Ready to Move,11 out of 15,New Property,North - East,Garden/Park,Freehold,"8 Covered,",2,2
2161,"1 BHK Flat for Sale in Sector 41, Suraj Kund Badkhal Road, Faridabad",₹11.4 Lac ,₹2923 per sqft ,,900 sqft,Ready to Move,1 out of 7,Resale,East,Garden/Park,Freehold,,1,3
2162,"4 BHK Flat for Sale in Sector 41, Suraj Kund Badkhal Road, Faridabad",₹1.25 Cr ,₹6173 per sqft ,,1300 sqft,Ready to Move,10 out of 10,Resale,East,Main Road,Freehold,,4,1
2163,"3 BHK Flat for Sale in Sector 41, Suraj Kund Badkhal Road, Faridabad",₹44.4 Lac ,₹2921 per sqft ,,1000 sqft,Ready to Move,5 out of 11,Resale,North,Main Road,Freehold,,2,2
2164,"3 BHK Flat for Sale in Sector 41, Suraj Kund Badkhal Road, Faridabad",₹82 Lac ,₹5125 per sqft ,,8450 sqft,Ready to Move,7 out of 8,Resale,North,"Garden/Park, Main Road",Freehold,,3,2
2165," Studio Apartment for Sale in Uttam Nagar, New Delhi",₹13 Lac ,₹4815 per sqft ,,1350 sqft,Poss. by Dec '23,3 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,,1,1
2166,"3 BHK Flat for Sale in Pawittra Apartment, Vasundhara Enclave, New Delhi",₹1.75 Cr ,₹10938 per sqft ,,463 sqft,Ready to Move,4 out of 7,Resale,East,Main Road,Freehold,,3,2
2167,"3 BHK Flat for Sale in Shivaji Nagar, New Delhi",₹1 Cr ,₹7426 per sqft ,,1950 sqft,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,,2,8
2168,"1 BHK Flat for Sale in Shahberi, Greater Noida",₹12 Lac ,₹2400 per sqft ,,760 sqft,Ready to Move,2 out of 3,Resale,North,Main Road,Leasehold,,2,2
2169,"4 BHK Flat for Sale in Punjabi Bagh West, New Delhi",₹4.65 Cr ,₹17878 per sqft ,,,Ready to Move,Ground out of 4,Resale,North,,Freehold,,4,3
2170,"2 BHK Flat for Sale in Jangpura Extension, Jangpura, New Delhi",₹1.95 Cr ,₹19500 per sqft ,,,Ready to Move,4 out of 4,Resale,,,Freehold,,3,2
2171,"2 BHK Flat for Sale in Dream Heights, Noida Extension Block C, Noida",₹40 Lac ,₹4969 per sqft ,,,Ready to Move,5 out of 15,Resale,,,,,2,2
2172,"2 BHK Flat for Sale in Krishna Nagar, New Delhi",₹35 Lac ,₹5833 per sqft ,,,Ready to Move,3 out of 4,Resale,,,,,2,
2173,"2 BHK Flat for Sale in Sector 42, Noida",₹22.1 Lac ,₹2600 per sqft ,,,Poss. by Sep '23,2 out of 3,Resale,,,,,1,
2174,"2 BHK Flat for Sale in Sector 42, Noida",₹45 Lac ,₹5625 per sqft ,,,Ready to Move,Ground out of 4,Resale,,,,,2,
2175,"2 BHK Flat for Sale in Sector 42, Noida",₹38 Lac ,₹3800 per sqft ,,,Ready to Move,1 out of 1,Resale,,,,,2,
2176,"3 BHK Flat for Sale in Pitampura, New Delhi",₹2.50 Cr ,₹17857 per sqft ,,,Ready to Move,2 out of 4,Resale,,,,,3,
2177,"2 BHK Flat for Sale in Paschim Vihar, New Delhi",₹1.15 Cr ,₹10455 per sqft ,,,Ready to Move,3 out of 4,Resale,,,,,2,
2178,"3 BHK Flat for Sale in Shivpuri, Sector 7, Gurgaon",₹1 Cr ,₹5556 per sqft ,,,Ready to Move,2 out of 3,Resale,,,,,3,
2179,2 BHK House for Sale in Chhapraula Ghaziabad,₹28 Lac ,₹5185 per sqft ,,,Ready to Move,6 out of 14,Resale,,,,,1,
2180,"3 BHK Flat for Sale in Purvanchal Royal City, Chi 5, Greater Noida",₹1.25 Cr ,₹6890 per sqft ,,,Ready to Move,1 out of 4,New Property,,,,,3,
2181,"3 BHK Flat for Sale in Lavanya Apartments, Sector 81, Gurgaon",₹75 Lac ,₹4808 per sqft ,,,Ready to Move,Ground out of 4,Resale,,,,,3,
2182,"2 BHK Flat for Sale in Indraprastha Extension, Patparganj, New Delhi",₹1.15 Cr ,₹10455 per sqft ,,,Ready to Move,1 out of 4,Resale,,,,,2,
2183,> 10 BHK House for Sale in Sector 22 Gurgaon,₹9 Cr ,₹12000 per sqft ,,,,6 out of 14,New Property,,,,,10,
2184,"6 BHK Flat for Sale in Dwarka Mor, New Delhi",₹60 Lac ,₹3623 per sqft ,,,,2 out of 3,Resale,,,,,4,
2185,"6 BHK House for Sale in Sector 47, Dadri Road Noida",₹2.60 Cr ,₹7189 per sqft ,,,,17 out of 21,Resale,,,,,6,
2186,1 BHK House for Sale in Jaffarpur Kalan New Delhi,₹15 Lac ,₹7714 per sqft ,,,,,Resale,,,,,1,
2187,"3 BHK Flat for Sale in Grace, Sector 61, Ashok Marg, Noida",₹1.35 Cr ,₹8333 per sqft ,,,,,Resale,,,,,3,
2188,"4 BHK Flat for Sale in Jamia Nagar, Okhla, New Delhi",₹1.50 Cr ,₹4478 per sqft ,,,,,New Property,,,,,3,
2189,"2 BHK Flat for Sale in Migsun Ultimo, Omicron 3, Greater Noida",₹45 Lac ,,,,,,New Property,,,,,2,
2190,"4 BHK Flat for Sale in Rani Bagh, New Delhi",₹1.60 Cr ,₹11111 per sqft ,Mehta Realtors,1440 sqft,Poss. by Jan '24,2 out of 4,New Property,East,Main Road,Freehold,1 Open,3,3
2191,"1 BHK Flat for Sale in Paras Tierea, Sector 137, Noida Express Way, Noida",₹32 Lac ,₹6465 per sqft ,Lifetime Properties,495 sqft,Ready to Move,16 out of 28,Resale,North - East,"Pool, Main Road",Leasehold,1 Open,1,1
2192,"2 BHK Flat for Sale in DDA Pocket JK, Dilshad Garden, New Delhi",₹85 Lac ,₹6296 per sqft ,Family And Flats,950 sqft,Ready to Move,2 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,"2 Covered,",2,2
2193,"5 BHK Flat for Sale in DLF Beverly Park, Mehrauli Gurgaon Road, Gurgaon",₹8.25 Cr ,₹15000 per sqft ,Gurgaon City Estate,5000 sqft,Ready to Move,9 out of 9,Resale,North - East,Garden/Park,Freehold,1 Covered,6,4
2194,4 BHK House for Sale in Tri Nagar New Delhi,₹1.50 Cr ,₹4000 per sqft ,Ansh Home and Dovelopers,900 sqft,Ready to Move,3 out of 3,Resale,North - East,Main Road,Freehold,1 Open,3,3
2195,"1 BHK Flat for Sale in Khanpur, Madangir, New Delhi",₹19 Lac ,₹3596 per sqft ,,450 sqft,Ready to Move,5 out of 5,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",1,1
2196,2 BHK Flat for Sale in Greater Noida,₹32 Lac ,₹7778 per sqft ,,980 sqft,Ready to Move,2 out of 5,New Property,East,"Garden/Park, Main Road",Freehold,1 Covered,2,1
2197,3 BHK House for Sale in Pratap Nagar New Delhi,₹70 Lac ,₹4647 per sqft ,,750 sqft,Ready to Move,Ground out of 1,New Property,East,"Garden/Park, Main Road",Power Of Attorney,1 Open,1,3
2198,"2 BHK Flat for Sale in Signature The Serenas, Sohna Sector 36, Gurgaon",₹39.5 Lac ,₹5000 per sqft ,,663 sqft,Ready to Move,4 out of 13,New Property,North - East,Garden/Park,Freehold,1 Covered,2,1
2199,"3 BHK Flat for Sale in The Rivulet Phase 1, Greater Noida West, Greater Noida",₹67.5 Lac ,₹8889 per sqft ,,1595 sqft,Poss. by Apr '30,15 out of 18,New Property,South,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
2200,"2 BHK House for Sale in Kanwar Singh Nagar, Nangloi New Delhi",₹80 Lac ,₹9590 per sqft ,,900 sqft,Ready to Move,4 out of 5,Resale,North - East,"Garden/Park, Main Road",Freehold,4 Open,2,2
2201,"3 BHK Flat for Sale in Unitech Fresco, Nirvana Country, Sector 50, Gurgaon",₹1.80 Cr ,₹9000 per sqft ,,1000 sqft,Ready to Move,Ground out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,3,3
2202,8 BHK House for Sale in Sector 55 Noida,₹4.50 Cr ,₹9630 per sqft ,,1137 sqft,Ready to Move,3 out of 3,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,3,2
2203,2 BHK House for Sale in Sector 55 Faridabad,₹52 Lac ,₹12593 per sqft ,,4100 sqft,Ready to Move,13 out of 17,Resale,North,Main Road,Freehold,1 Covered,2,2
